정지원인개소,원인설비,호기,고장일,고장시간,복구일,복구시간,정지 시간,발전소,정지종별,정격출력(MW),발전원,설비명(분류),정지원인별(대),정지원인별(소),고장내용,날씨
보일러 급수펌프,BFPT,1 ,2009-09-17,12:00,2009-09-17,22:40,10:40,당진1발1,감발운전,500,석탄,터빈부속,설비결함,제작불량,BFPT(B) MP OB M/S Cooler 내부누설에 의한 정비 작업차 출력감발,맑음
보일러 급수펌프,BFPT,2 ,2013-11-28,08:00,2013-11-28,17:00,9:00,당진1발1,감발운전,510,석탄,터빈부속,보수불량,자연열화,BFPT-B OB M/S Water 배관 누설부 정비작업 관련 출력감발,구름
보일러 급수펌프,BFPT,2 ,2009-05-23,04:00,2009-05-23,17:00,13:00,당진1발1,감발운전,500,석탄,터빈부속,설비결함,제작불량,BFPT(B) Booster Pump IB M/S 누설에 의한 M/S 교체 작업차 출력감발,맑음
보일러 급수펌프,BFPT,8 ,2016-09-07,15:00,2016-09-07,19:25,4:25,당진4발,감발운전,500,석탄,터빈부속,설비결함,제작불량,BFPT #B RH Spray Check V/v (V048) 전단 STM Leak,맑음
보일러 급수펌프,BFPT,10 ,2017-08-24,23:59,2017-09-04,14:06,254:07,신당진,계획중간정비정지,1020,석탄,터빈부속,기타,,BFPT-B 진동상승 정비 차 정지,맑음
보일러 급수펌프,BFPT,9 ,2017-10-27,23:58,2017-11-10,21:13,333:15,신당진,계획중간정비정지,1020,석탄,터빈부속,기타,,"BFPT-A,B 정비작업(Main PP Suction측 Splitter Bolt 교체 등)",구름
보일러 급수펌프,BFPT,1 ,2013-06-05,22:00,2013-06-06,11:00,13:00,당진1발1,감발운전,510,석탄,터빈부속,보수불량,자연열화,BFPT-A IB M/S Water 배관 누설부 정비작업 관련 출력감발,맑음
보일러 급수펌프,BFPT,1 ,2011-10-14,23:30,2011-10-15,20:30,21:00,당진1발1,감발운전,500,석탄,터빈부속,보수불량,정비불량,BFPT-A MOP-B 고압 측 토출 Flange Gasket 손상,맑음
보일러 급수펌프,BFPT,4 ,2012-06-13,14:28,2012-06-13,18:00,3:32,당진2발,감발운전,500,석탄,터빈부속,보수불량,정비불량,BFPT-A Trip에 의한 Load Runback,맑음
보일러 급수펌프,BFPT,1 ,2014-03-08,00:00,2014-03-08,21:33,21:33,당진1발1,계획중간정비정지,510,석탄,터빈부속,설비결함,제작불량,BFPT Disch MOV A Stem 절손 관련 정비,맑음
보일러 급수펌프,BFP,1 ,2011-10-01,09:30,2011-10-01,22:55,13:25,당진1발1,감발운전,500,석탄,터빈부속,보수불량,정비불량,BFP-B Disch Check Valve Hinge부 Water 누설처 정비를 위한 출력감발,맑음
보일러 급수펌프,BFP,1 ,2010-04-07,17:10,2010-04-07,20:55,3:45,당진1발1,감발운전,500,석탄,터빈부속,보수불량,정비불량,BFP-B Normal Warming MOV 전단 ISO VV Gland부 누설정비차 출력감발,맑음
보일러 급수펌프,BFP,10 ,2017-05-30,08:57,2017-05-30,10:58,2:01,신당진,감발운전,1020,석탄,터빈부속,인적실수,작업자과실,BFP-A 정지에 의한 출력감발 ,맑음
보일러 급수펌프,BFP,2 ,2008-02-01,18:30,2008-02-02,14:40,20:10,당진1발1,감발운전,500,석탄,터빈부속,설비결함,제작불량,BFPT B Main Pump Mechanical Seal IB/OB 누설로 교체 작업,맑음
보일러 급수펌프,BFP,4,2010-09-26,14:41,2010-09-26,19:54,5:13,당진2발,불시정지,500,석탄,터빈부속,설비결함,제작불량,BFPT A Main Pump 급수량 부족으로 W/W 온도상승에 의한 Unit 정지,맑음
보일러 급수펌프,BFP,9 ,2017-12-03,00:00,2017-12-11,08:43,200:43,신당진,계획중간정비정지,1020,석탄,터빈부속,기타,,급수펌프 유량증가관련 Min. FCV 분해 정비,맑음
"통풍, 연도장치",PAF,1,2015-10-08,08:47,2015-10-08,19:27,10:40,당진1발1,감발운전,500,석탄,보일러 부속,보수불량,자연열화,PA Fan-A Electric Fault로 출력 감발,맑음
"통풍, 연도장치",PAF,1,2013-01-28,15:56,2013-01-28,17:27,1:31,당진1발1,감발운전,500,석탄,보일러 부속,고장파급,,보일러 PA Fan-A 정지로 출력감발,맑음
"통풍, 연도장치",PAF,1,2009-10-22,08:09,2009-10-22,10:45,2:36,당진1발1,감발운전,500,석탄,보일러 부속,설비결함,제작불량,GAH #A Flue Gas Damper2 Open Signal 상실에 의한 출력감발,맑음
