tag,min,max,mid
KEWP_35FW_PT01A_XQ01,388,,
KEWP_35FW_PT02A_XQ01,388,,
KEWP_35FW_PT03A_XQ01,388,,
KEWP_35DW_PT01A_XQ01,,0.5,
KEWP_35FP_XAPT21_MM_ZQ05,,0.8,
KEWP_35FW_FCV01B_YQ01,,0,
KEWP_35HE_LT01_M_XQ03,,824,
KEWP_35HE_LT01_XQ01,,824,
KEWP_35FP_XAYT20_XQ21,150,,
KEWP_35FP_XAYT21_XQ21,150,,
KEWP_35FP_XAYT22_XQ21,150,,
KEWP_35FP_XAYT23_XQ21,150,,
KEWP_35FP_XAYT24_XQ21,150,,
KEWP_35FP_XAYT25_XQ21,-0.7,0.7,
KEWP_35FP_XAYT26_XQ21,-0.7,0.7,
KEWP_35FP_XAYT11_XQ21,150,,
KEWP_35FP_XAYT12_XQ21,150,,
KEWP_35FP_XAYT13_XQ21,150,,
KEWP_35FP_XAYT14_XQ21,150,,
KEWP_35FP_XAYT15_XQ21,-0.7,0.7,
KEWP_35FP_XAYT16_XQ21,-0.7,0.7,
KEWP_35FP_XAYT51_XQ21,10,,
KEWP_35FP_XAYT52_XQ21,10,,
KEWP_35FP_XATT21_XQ01,95,,
KEWP_35FP_XATT22_XQ01,95,,
KEWP_35FP_XATT23_XQ01,100,,
KEWP_35FP_XATT24_XQ01,100,,
KEWP_35FP_XATT25_A_XQ01,95,,
KEWP_35FP_XATT25_XQ01,95,,
KEWP_35FP_XATT26_A_XQ01,95,,
KEWP_35FP_XATT26_XQ01,95,,
KEWP_35FP_XATT11_XQ01,95,,
KEWP_35FP_XATT12_XQ01,95,,
KEWP_35FP_XATT13_XQ01,100,,
KEWP_35FP_XATT14_XQ01,100,,
KEWP_35FP_XATT15_A_XQ01,95,,
KEWP_35FP_XATT15_XQ01,95,,
KEWP_35FP_XATT16_A_XQ01,95,,
KEWP_35FP_XATT16_XQ01,95,,
KEWP_35FP_XATT51_XQ01,95,,
KEWP_35FP_XATT53_XQ01,95,,
KEWP_35FP_XATT52_XQ01,95,,
KEWP_35FP_XATT54_XQ01,95,,
KEWP_35PA_XAPS51_L_XG02,,2,
KEWP_35PA_XAPS52_LL_XG04,,2,
KEWP_35PA_XAPS53_LL_XG04,,2,
KEWP_35PA_XAPS54_LL_XG04,,2,
KEWP_35PA_XAYT55_XQ21,100,,
KEWP_35PA_XAYT56_XQ21,100,,
KEWP_35PA_XAYT57_XQ21,100,,
KEWP_35PA_XAYT58_XQ21,100,,
KEWP_35PA_XAYT53_XQ21,313,,
KEWP_35PA_XAYT54_XQ21,313,,
KEWP_35PA_XAYT51_XQ21,313,,
KEWP_35PA_XAYT52_XQ21,313,,
KEWP_35PA_XATT51_XQ01,80,,
KEWP_35PA_XATT52_XQ01,80,,
KEWP_35PA_XAPS51_L_XG02,,2.3,
KEWP_35PA_XAPS52_LL_XG04,,2.3,
KEWP_35PA_XAPS53_LL_XG04,,2.3,
KEWP_35PA_XAPS54_LL_XG04,,2.3,
KEWP_35PC_AI52C_Y_XQ11,400,,
KEWP_35PC_AI52C_Y_XQ12,400,,
KEWP_35PC_AI52C_Y_XQ13,400,,
KEWP_35FG_XAYS01_HH_XJ03,15,,
KEWP_35FG_XALS51_LL_XG04,,120,
